model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot,1,1,0,1,5,1
gpt-4-0613,0shot,1,1,0,3,4,2
gpt-4-0613,0shot,1,1,0,5,4,3
gpt-4-0613,0shot,1,1,0,1,1,4
gpt-4-0613,0shot,1,1,0,4,4,5
gpt-4-0613,0shot,1,1,0,4,4,6
gpt-4-0613,0shot,1,1,0,1,4,7
gpt-4-0613,0shot,1,1,0,1,4,8
gpt-4-0613,0shot,1,1,0,1,4,9
gpt-4-0613,0shot,1,1,0,1,1,10
gpt-4-0613,0shot,1,1,0,3,3,11
gpt-4-0613,0shot,1,1,0,3,2,12
gpt-4-0613,0shot,1,1,0,5,4,13
gpt-4-0613,0shot,1,1,0,1,4,14
gpt-4-0613,0shot,1,1,0,1,4,15
gpt-4-0613,0shot,1,1,0,3,4,16
gpt-4-0613,0shot,1,1,0,1,1,17
gpt-4-0613,0shot,1,1,0,3,4,18
gpt-4-0613,0shot,1,1,0,5,4,19
gpt-4-0613,0shot,1,1,0,1,4,20
gpt-4-0613,0shot,1,1,0,2,1,21
gpt-4-0613,0shot,1,1,0,1,4,22
gpt-4-0613,0shot,1,1,0,1,4,23
gpt-4-0613,0shot,1,1,0,1,4,24
gpt-4-0613,0shot,1,1,0,4,1,25
gpt-4-0613,0shot,1,1,0,1,4,26
gpt-4-0613,0shot,1,1,0,4,4,27
gpt-4-0613,0shot,1,1,0,3,4,28
gpt-4-0613,0shot,1,1,0,3,4,29
gpt-4-0613,0shot,1,1,0,5,4,30
gpt-4-0613,0shot,1,1,0,4,4,31
gpt-4-0613,0shot,1,1,0,3,4,32
gpt-4-0613,0shot,1,1,0,5,1,33
gpt-4-0613,0shot,1,1,0,1,2,34
gpt-4-0613,0shot,1,1,0,1,4,35
gpt-4-0613,0shot,1,1,0,5,4,36
gpt-4-0613,0shot,1,1,0,1,3,37
gpt-4-0613,0shot,1,1,0,1,4,38
gpt-4-0613,0shot,1,1,0,5,1,39
gpt-4-0613,0shot,1,1,0,2,4,40
gpt-4-0613,0shot,1,1,0,3,4,41
gpt-4-0613,0shot,1,1,0,1,4,42
gpt-4-0613,0shot,1,1,0,1,4,43
gpt-4-0613,0shot,1,1,0,1,4,44
gpt-4-0613,0shot,1,1,0,1,4,45
gpt-4-0613,0shot,1,1,0,3,4,46
gpt-4-0613,0shot,1,1,0,1,4,47
gpt-4-0613,0shot,1,1,0,3,1,48
gpt-4-0613,0shot,1,1,0,2,2,49
gpt-4-0613,0shot,1,0,1,1,4,0
gpt-4-0613,0shot,1,0,1,1,5,1
gpt-4-0613,0shot,1,0,1,4,2,2
gpt-4-0613,0shot,1,0,1,4,4,3
gpt-4-0613,0shot,1,0,1,1,2,4
gpt-4-0613,0shot,1,0,1,1,4,5
gpt-4-0613,0shot,1,0,1,5,5,6
gpt-4-0613,0shot,1,0,1,1,1,7
gpt-4-0613,0shot,1,0,1,1,3,8
gpt-4-0613,0shot,1,0,1,4,1,9
gpt-4-0613,0shot,1,0,1,1,3,10
gpt-4-0613,0shot,1,0,1,3,5,11
gpt-4-0613,0shot,1,0,1,4,5,12
gpt-4-0613,0shot,1,0,1,4,4,13
gpt-4-0613,0shot,1,0,1,4,5,14
gpt-4-0613,0shot,1,0,1,1,4,15
gpt-4-0613,0shot,1,0,1,1,4,16
gpt-4-0613,0shot,1,0,1,5,1,17
gpt-4-0613,0shot,1,0,1,1,4,18
gpt-4-0613,0shot,1,0,1,5,4,19
gpt-4-0613,0shot,1,0,1,1,4,20
gpt-4-0613,0shot,1,0,1,1,1,21
gpt-4-0613,0shot,1,0,1,1,4,22
gpt-4-0613,0shot,1,0,1,1,4,23
gpt-4-0613,0shot,1,0,1,1,3,24
gpt-4-0613,0shot,1,0,1,1,4,25
gpt-4-0613,0shot,1,0,1,1,4,26
gpt-4-0613,0shot,1,0,1,4,4,27
gpt-4-0613,0shot,1,0,1,5,1,28
gpt-4-0613,0shot,1,0,1,4,4,29
gpt-4-0613,0shot,1,0,1,4,4,30
gpt-4-0613,0shot,1,0,1,5,1,31
gpt-4-0613,0shot,1,0,1,5,5,32
gpt-4-0613,0shot,1,0,1,5,4,33
gpt-4-0613,0shot,1,0,1,1,1,34
gpt-4-0613,0shot,1,0,1,1,4,35
gpt-4-0613,0shot,1,0,1,5,1,36
gpt-4-0613,0shot,1,0,1,1,2,37
gpt-4-0613,0shot,1,0,1,1,4,38
gpt-4-0613,0shot,1,0,1,4,1,39
gpt-4-0613,0shot,1,0,1,1,4,40
gpt-4-0613,0shot,1,0,1,1,1,41
gpt-4-0613,0shot,1,0,1,1,3,42
gpt-4-0613,0shot,1,0,1,1,4,43
gpt-4-0613,0shot,1,0,1,1,3,44
gpt-4-0613,0shot,1,0,1,1,4,45
gpt-4-0613,0shot,1,0,1,5,4,46
gpt-4-0613,0shot,1,0,1,1,4,47
gpt-4-0613,0shot,1,0,1,3,4,48
gpt-4-0613,0shot,1,0,1,4,1,49
gpt-4-0613,0shot,1,0,0,1,3,0
gpt-4-0613,0shot,1,0,0,1,2,1
gpt-4-0613,0shot,1,0,0,4,4,2
gpt-4-0613,0shot,1,0,0,4,1,3
gpt-4-0613,0shot,1,0,0,1,1,4
gpt-4-0613,0shot,1,0,0,5,1,5
gpt-4-0613,0shot,1,0,0,5,1,6
gpt-4-0613,0shot,1,0,0,1,1,7
gpt-4-0613,0shot,1,0,0,5,1,8
gpt-4-0613,0shot,1,0,0,4,1,9
gpt-4-0613,0shot,1,0,0,1,1,10
gpt-4-0613,0shot,1,0,0,4,5,11
gpt-4-0613,0shot,1,0,0,4,4,12
gpt-4-0613,0shot,1,0,0,5,1,13
gpt-4-0613,0shot,1,0,0,2,4,14
gpt-4-0613,0shot,1,0,0,1,2,15
gpt-4-0613,0shot,1,0,0,1,4,16
gpt-4-0613,0shot,1,0,0,4,1,17
gpt-4-0613,0shot,1,0,0,3,2,18
gpt-4-0613,0shot,1,0,0,5,4,19
gpt-4-0613,0shot,1,0,0,1,4,20
gpt-4-0613,0shot,1,0,0,1,1,21
gpt-4-0613,0shot,1,0,0,1,4,22
gpt-4-0613,0shot,1,0,0,1,4,23
gpt-4-0613,0shot,1,0,0,1,1,24
gpt-4-0613,0shot,1,0,0,1,5,25
gpt-4-0613,0shot,1,0,0,1,1,26
gpt-4-0613,0shot,1,0,0,1,2,27
gpt-4-0613,0shot,1,0,0,3,4,28
gpt-4-0613,0shot,1,0,0,3,1,29
gpt-4-0613,0shot,1,0,0,2,1,30
gpt-4-0613,0shot,1,0,0,5,1,31
gpt-4-0613,0shot,1,0,0,4,4,32
gpt-4-0613,0shot,1,0,0,4,1,33
gpt-4-0613,0shot,1,0,0,1,4,34
gpt-4-0613,0shot,1,0,0,1,1,35
gpt-4-0613,0shot,1,0,0,5,1,36
gpt-4-0613,0shot,1,0,0,1,3,37
gpt-4-0613,0shot,1,0,0,1,4,38
gpt-4-0613,0shot,1,0,0,4,1,39
gpt-4-0613,0shot,1,0,0,2,1,40
gpt-4-0613,0shot,1,0,0,4,4,41
gpt-4-0613,0shot,1,0,0,4,1,42
gpt-4-0613,0shot,1,0,0,1,1,43
gpt-4-0613,0shot,1,0,0,1,3,44
gpt-4-0613,0shot,1,0,0,1,1,45
gpt-4-0613,0shot,1,0,0,5,1,46
gpt-4-0613,0shot,1,0,0,1,1,47
gpt-4-0613,0shot,1,0,0,1,1,48
gpt-4-0613,0shot,1,0,0,3,1,49
gpt-4-0613,0shot,0,1,1,1,1,0
gpt-4-0613,0shot,0,1,1,1,3,1
gpt-4-0613,0shot,0,1,1,1,2,2
gpt-4-0613,0shot,0,1,1,3,1,3
gpt-4-0613,0shot,0,1,1,2,1,4
gpt-4-0613,0shot,0,1,1,1,1,5
gpt-4-0613,0shot,0,1,1,5,4,6
gpt-4-0613,0shot,0,1,1,1,1,7
gpt-4-0613,0shot,0,1,1,1,1,8
gpt-4-0613,0shot,0,1,1,1,1,9
gpt-4-0613,0shot,0,1,1,1,4,10
gpt-4-0613,0shot,0,1,1,4,1,11
gpt-4-0613,0shot,0,1,1,2,1,12
gpt-4-0613,0shot,0,1,1,1,1,13
gpt-4-0613,0shot,0,1,1,5,1,14
gpt-4-0613,0shot,0,1,1,5,1,15
gpt-4-0613,0shot,0,1,1,4,1,16
gpt-4-0613,0shot,0,1,1,5,1,17
gpt-4-0613,0shot,0,1,1,1,1,18
gpt-4-0613,0shot,0,1,1,2,2,19
gpt-4-0613,0shot,0,1,1,1,1,20
gpt-4-0613,0shot,0,1,1,1,1,21
gpt-4-0613,0shot,0,1,1,2,1,22
gpt-4-0613,0shot,0,1,1,1,1,23
gpt-4-0613,0shot,0,1,1,1,1,24
gpt-4-0613,0shot,0,1,1,1,1,25
gpt-4-0613,0shot,0,1,1,2,1,26
gpt-4-0613,0shot,0,1,1,3,1,27
gpt-4-0613,0shot,0,1,1,1,1,28
gpt-4-0613,0shot,0,1,1,1,1,29
gpt-4-0613,0shot,0,1,1,3,1,30
gpt-4-0613,0shot,0,1,1,5,1,31
gpt-4-0613,0shot,0,1,1,5,1,32
gpt-4-0613,0shot,0,1,1,2,1,33
gpt-4-0613,0shot,0,1,1,3,1,34
gpt-4-0613,0shot,0,1,1,4,1,35
gpt-4-0613,0shot,0,1,1,3,4,36
gpt-4-0613,0shot,0,1,1,1,1,37
gpt-4-0613,0shot,0,1,1,2,1,38
gpt-4-0613,0shot,0,1,1,3,1,39
gpt-4-0613,0shot,0,1,1,1,1,40
gpt-4-0613,0shot,0,1,1,4,1,41
gpt-4-0613,0shot,0,1,1,1,1,42
gpt-4-0613,0shot,0,1,1,1,1,43
gpt-4-0613,0shot,0,1,1,4,1,44
gpt-4-0613,0shot,0,1,1,3,1,45
gpt-4-0613,0shot,0,1,1,1,4,46
gpt-4-0613,0shot,0,1,1,1,1,47
gpt-4-0613,0shot,0,1,1,4,1,48
gpt-4-0613,0shot,0,1,1,1,2,49
gpt-4-0613,0shot,0,1,0,1,1,0
gpt-4-0613,0shot,0,1,0,1,4,1
gpt-4-0613,0shot,0,1,0,4,4,2
gpt-4-0613,0shot,0,1,0,4,1,3
gpt-4-0613,0shot,0,1,0,1,4,4
gpt-4-0613,0shot,0,1,0,1,1,5
gpt-4-0613,0shot,0,1,0,3,4,6
gpt-4-0613,0shot,0,1,0,1,1,7
gpt-4-0613,0shot,0,1,0,1,1,8
gpt-4-0613,0shot,0,1,0,1,1,9
gpt-4-0613,0shot,0,1,0,1,4,10
gpt-4-0613,0shot,0,1,0,3,1,11
gpt-4-0613,0shot,0,1,0,1,1,12
gpt-4-0613,0shot,0,1,0,1,1,13
gpt-4-0613,0shot,0,1,0,4,4,14
gpt-4-0613,0shot,0,1,0,4,1,15
gpt-4-0613,0shot,0,1,0,4,1,16
gpt-4-0613,0shot,0,1,0,5,1,17
gpt-4-0613,0shot,0,1,0,4,1,18
gpt-4-0613,0shot,0,1,0,1,1,19
gpt-4-0613,0shot,0,1,0,1,4,20
gpt-4-0613,0shot,0,1,0,4,1,21
gpt-4-0613,0shot,0,1,0,1,1,22
gpt-4-0613,0shot,0,1,0,1,4,23
gpt-4-0613,0shot,0,1,0,1,1,24
gpt-4-0613,0shot,0,1,0,1,1,25
gpt-4-0613,0shot,0,1,0,1,1,26
gpt-4-0613,0shot,0,1,0,1,1,27
gpt-4-0613,0shot,0,1,0,2,1,28
gpt-4-0613,0shot,0,1,0,1,1,29
gpt-4-0613,0shot,0,1,0,2,1,30
gpt-4-0613,0shot,0,1,0,5,1,31
gpt-4-0613,0shot,0,1,0,5,1,32
gpt-4-0613,0shot,0,1,0,4,4,33
gpt-4-0613,0shot,0,1,0,4,1,34
gpt-4-0613,0shot,0,1,0,3,1,35
gpt-4-0613,0shot,0,1,0,4,1,36
gpt-4-0613,0shot,0,1,0,1,1,37
gpt-4-0613,0shot,0,1,0,1,1,38
gpt-4-0613,0shot,0,1,0,2,1,39
gpt-4-0613,0shot,0,1,0,1,1,40
gpt-4-0613,0shot,0,1,0,4,1,41
gpt-4-0613,0shot,0,1,0,1,4,42
gpt-4-0613,0shot,0,1,0,1,1,43
gpt-4-0613,0shot,0,1,0,3,4,44
gpt-4-0613,0shot,0,1,0,3,1,45
gpt-4-0613,0shot,0,1,0,1,4,46
gpt-4-0613,0shot,0,1,0,1,4,47
gpt-4-0613,0shot,0,1,0,3,1,48
gpt-4-0613,0shot,0,1,0,1,2,49
gpt-4-0613,0shot,0,0,1,1,4,0
gpt-4-0613,0shot,0,0,1,1,4,1
gpt-4-0613,0shot,0,0,1,1,4,2
gpt-4-0613,0shot,0,0,1,3,1,3
gpt-4-0613,0shot,0,0,1,3,1,4
gpt-4-0613,0shot,0,0,1,2,1,5
gpt-4-0613,0shot,0,0,1,3,4,6
gpt-4-0613,0shot,0,0,1,1,1,7
gpt-4-0613,0shot,0,0,1,4,1,8
gpt-4-0613,0shot,0,0,1,1,1,9
gpt-4-0613,0shot,0,0,1,2,4,10
gpt-4-0613,0shot,0,0,1,4,1,11
gpt-4-0613,0shot,0,0,1,3,1,12
gpt-4-0613,0shot,0,0,1,1,4,13
gpt-4-0613,0shot,0,0,1,4,1,14
gpt-4-0613,0shot,0,0,1,4,1,15
gpt-4-0613,0shot,0,0,1,3,1,16
gpt-4-0613,0shot,0,0,1,4,1,17
gpt-4-0613,0shot,0,0,1,3,1,18
gpt-4-0613,0shot,0,0,1,1,1,19
gpt-4-0613,0shot,0,0,1,2,1,20
gpt-4-0613,0shot,0,0,1,4,1,21
gpt-4-0613,0shot,0,0,1,2,1,22
gpt-4-0613,0shot,0,0,1,1,4,23
gpt-4-0613,0shot,0,0,1,1,1,24
gpt-4-0613,0shot,0,0,1,1,1,25
gpt-4-0613,0shot,0,0,1,4,1,26
gpt-4-0613,0shot,0,0,1,4,2,27
gpt-4-0613,0shot,0,0,1,4,1,28
gpt-4-0613,0shot,0,0,1,2,1,29
gpt-4-0613,0shot,0,0,1,1,1,30
gpt-4-0613,0shot,0,0,1,5,1,31
gpt-4-0613,0shot,0,0,1,5,1,32
gpt-4-0613,0shot,0,0,1,4,1,33
gpt-4-0613,0shot,0,0,1,3,1,34
gpt-4-0613,0shot,0,0,1,4,1,35
gpt-4-0613,0shot,0,0,1,3,1,36
gpt-4-0613,0shot,0,0,1,1,1,37
gpt-4-0613,0shot,0,0,1,4,1,38
gpt-4-0613,0shot,0,0,1,4,1,39
gpt-4-0613,0shot,0,0,1,1,1,40
gpt-4-0613,0shot,0,0,1,4,1,41
gpt-4-0613,0shot,0,0,1,1,4,42
gpt-4-0613,0shot,0,0,1,2,1,43
gpt-4-0613,0shot,0,0,1,3,1,44
gpt-4-0613,0shot,0,0,1,4,1,45
gpt-4-0613,0shot,0,0,1,2,4,46
gpt-4-0613,0shot,0,0,1,1,3,47
gpt-4-0613,0shot,0,0,1,2,1,48
gpt-4-0613,0shot,0,0,1,1,3,49
gpt-4-0613,0shot,0,0,0,1,4,0
gpt-4-0613,0shot,0,0,0,1,4,1
gpt-4-0613,0shot,0,0,0,1,1,2
gpt-4-0613,0shot,0,0,0,3,1,3
gpt-4-0613,0shot,0,0,0,5,1,4
gpt-4-0613,0shot,0,0,0,2,1,5
gpt-4-0613,0shot,0,0,0,5,1,6
gpt-4-0613,0shot,0,0,0,1,1,7
gpt-4-0613,0shot,0,0,0,1,1,8
gpt-4-0613,0shot,0,0,0,1,1,9
gpt-4-0613,0shot,0,0,0,1,1,10
gpt-4-0613,0shot,0,0,0,4,1,11
gpt-4-0613,0shot,0,0,0,3,1,12
gpt-4-0613,0shot,0,0,0,1,4,13
gpt-4-0613,0shot,0,0,0,5,1,14
gpt-4-0613,0shot,0,0,0,3,1,15
gpt-4-0613,0shot,0,0,0,3,1,16
gpt-4-0613,0shot,0,0,0,4,1,17
gpt-4-0613,0shot,0,0,0,2,1,18
gpt-4-0613,0shot,0,0,0,1,1,19
gpt-4-0613,0shot,0,0,0,5,1,20
gpt-4-0613,0shot,0,0,0,5,1,21
gpt-4-0613,0shot,0,0,0,4,1,22
gpt-4-0613,0shot,0,0,0,1,1,23
gpt-4-0613,0shot,0,0,0,1,1,24
gpt-4-0613,0shot,0,0,0,1,1,25
gpt-4-0613,0shot,0,0,0,3,1,26
gpt-4-0613,0shot,0,0,0,3,1,27
gpt-4-0613,0shot,0,0,0,4,1,28
gpt-4-0613,0shot,0,0,0,1,1,29
gpt-4-0613,0shot,0,0,0,2,1,30
gpt-4-0613,0shot,0,0,0,5,1,31
gpt-4-0613,0shot,0,0,0,4,1,32
gpt-4-0613,0shot,0,0,0,1,1,33
gpt-4-0613,0shot,0,0,0,4,1,34
gpt-4-0613,0shot,0,0,0,4,1,35
gpt-4-0613,0shot,0,0,0,4,3,36
gpt-4-0613,0shot,0,0,0,4,1,37
gpt-4-0613,0shot,0,0,0,2,1,38
gpt-4-0613,0shot,0,0,0,2,1,39
gpt-4-0613,0shot,0,0,0,5,1,40
gpt-4-0613,0shot,0,0,0,1,1,41
gpt-4-0613,0shot,0,0,0,1,4,42
gpt-4-0613,0shot,0,0,0,1,1,43
gpt-4-0613,0shot,0,0,0,3,1,44
gpt-4-0613,0shot,0,0,0,4,1,45
gpt-4-0613,0shot,0,0,0,3,4,46
gpt-4-0613,0shot,0,0,0,1,1,47
gpt-4-0613,0shot,0,0,0,4,1,48
gpt-4-0613,0shot,0,0,0,1,4,49
