model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot,means,evitable,action_yes,4,2,40
gpt-4-0613,0shot,means,evitable,action_yes,3,4,41
gpt-4-0613,0shot,means,evitable,action_yes,3,2,42
gpt-4-0613,0shot,means,evitable,action_yes,3,2,43
gpt-4-0613,0shot,means,evitable,action_yes,3,2,44
gpt-4-0613,0shot,means,evitable,action_yes,3,2,45
gpt-4-0613,0shot,means,evitable,action_yes,3,2,46
gpt-4-0613,0shot,means,evitable,action_yes,3,4,47
gpt-4-0613,0shot,means,evitable,action_yes,3,2,48
gpt-4-0613,0shot,means,evitable,action_yes,3,2,49
gpt-4-0613,0shot,means,evitable,action_yes,3,2,50
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,1
gpt-4-0613,0shot_cot,means,evitable,action_yes,1,5,2
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,3
gpt-4-0613,0shot_cot,means,evitable,action_yes,4,5,4
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,5
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,6
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,7
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,2,8
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,9
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,10
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,3,11
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,12
gpt-4-0613,0shot_cot,means,evitable,action_yes,4,5,13
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,14
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,15
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,16
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,17
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,3,18
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,19
gpt-4-0613,0shot_cot,means,evitable,action_yes,5,4,20
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,2,21
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,22
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,23
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,24
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,25
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,2,26
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,27
gpt-4-0613,0shot_cot,means,evitable,action_yes,4,1,28
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,29
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,30
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,31
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,32
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,33
gpt-4-0613,0shot_cot,means,evitable,action_yes,4,1,34
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,35
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,36
gpt-4-0613,0shot_cot,means,evitable,action_yes,4,1,37
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,38
gpt-4-0613,0shot_cot,means,evitable,action_yes,1,4,39
gpt-4-0613,0shot_cot,means,evitable,action_yes,5,1,40
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,41
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,42
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,43
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,1,44
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,45
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,4,46
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,5,47
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,3,48
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,2,49
gpt-4-0613,0shot_cot,means,evitable,action_yes,3,2,50
claude-2,0shot,means,evitable,prevention_no,3,2,1
claude-2,0shot,means,evitable,prevention_no,2,2,2
claude-2,0shot,means,evitable,prevention_no,3,2,3
claude-2,0shot,means,evitable,prevention_no,4,2,4
claude-2,0shot,means,evitable,prevention_no,3,2,5
claude-2,0shot,means,evitable,prevention_no,2,2,6
claude-2,0shot,means,evitable,prevention_no,3,2,7
claude-2,0shot,means,evitable,prevention_no,2,2,8
claude-2,0shot,means,evitable,prevention_no,2,2,9
claude-2,0shot,means,evitable,prevention_no,3,2,10
claude-2,0shot,means,evitable,prevention_no,2,2,11
claude-2,0shot,means,evitable,prevention_no,2,2,12
claude-2,0shot,means,evitable,prevention_no,4,2,13
claude-2,0shot,means,evitable,prevention_no,4,2,14
claude-2,0shot,means,evitable,prevention_no,3,2,15
claude-2,0shot,means,evitable,prevention_no,3,2,16
claude-2,0shot,means,evitable,prevention_no,2,2,17
claude-2,0shot,means,evitable,prevention_no,3,2,18
claude-2,0shot,means,evitable,prevention_no,4,2,19
claude-2,0shot,means,evitable,prevention_no,4,2,20
claude-2,0shot,means,evitable,prevention_no,2,2,21
claude-2,0shot,means,evitable,prevention_no,2,2,22
claude-2,0shot,means,evitable,prevention_no,2,2,23
claude-2,0shot,means,evitable,prevention_no,2,2,24
claude-2,0shot,means,evitable,prevention_no,2,2,25
claude-2,0shot,means,evitable,prevention_no,2,2,26
claude-2,0shot,means,evitable,prevention_no,3,2,27
claude-2,0shot,means,evitable,prevention_no,3,2,28
claude-2,0shot,means,evitable,prevention_no,3,2,29
claude-2,0shot,means,evitable,prevention_no,3,2,30
claude-2,0shot,means,evitable,prevention_no,4,2,31
claude-2,0shot,means,evitable,prevention_no,2,2,32
claude-2,0shot,means,evitable,prevention_no,3,2,33
claude-2,0shot,means,evitable,prevention_no,4,2,34
claude-2,0shot,means,evitable,prevention_no,2,2,35
claude-2,0shot,means,evitable,prevention_no,3,2,36
claude-2,0shot,means,evitable,prevention_no,3,2,37
claude-2,0shot,means,evitable,prevention_no,2,2,38
claude-2,0shot,means,evitable,prevention_no,2,2,39
claude-2,0shot,means,evitable,prevention_no,4,2,40
claude-2,0shot,means,evitable,prevention_no,2,2,41
claude-2,0shot,means,evitable,prevention_no,3,2,42
claude-2,0shot,means,evitable,prevention_no,2,2,43
claude-2,0shot,means,evitable,prevention_no,2,2,44
claude-2,0shot,means,evitable,prevention_no,3,2,45
claude-2,0shot,means,evitable,prevention_no,2,2,46
claude-2,0shot,means,evitable,prevention_no,3,2,47
claude-2,0shot,means,evitable,prevention_no,2,2,48
claude-2,0shot,means,evitable,prevention_no,2,2,49
claude-2,0shot,means,evitable,prevention_no,3,2,50
claude-2,0shot_cot,means,evitable,prevention_no,3,2,1
claude-2,0shot_cot,means,evitable,prevention_no,2,3,2
claude-2,0shot_cot,means,evitable,prevention_no,3,2,3
claude-2,0shot_cot,means,evitable,prevention_no,4,2,4
claude-2,0shot_cot,means,evitable,prevention_no,2,2,5
claude-2,0shot_cot,means,evitable,prevention_no,2,2,6
claude-2,0shot_cot,means,evitable,prevention_no,4,2,7
claude-2,0shot_cot,means,evitable,prevention_no,2,2,8
claude-2,0shot_cot,means,evitable,prevention_no,3,2,9
claude-2,0shot_cot,means,evitable,prevention_no,3,2,10
claude-2,0shot_cot,means,evitable,prevention_no,3,2,11
claude-2,0shot_cot,means,evitable,prevention_no,3,2,12
claude-2,0shot_cot,means,evitable,prevention_no,4,2,13
claude-2,0shot_cot,means,evitable,prevention_no,4,2,14
claude-2,0shot_cot,means,evitable,prevention_no,4,3,15
claude-2,0shot_cot,means,evitable,prevention_no,3,2,16
claude-2,0shot_cot,means,evitable,prevention_no,3,2,17
claude-2,0shot_cot,means,evitable,prevention_no,3,2,18
claude-2,0shot_cot,means,evitable,prevention_no,4,2,19
claude-2,0shot_cot,means,evitable,prevention_no,4,2,20
claude-2,0shot_cot,means,evitable,prevention_no,3,2,21
claude-2,0shot_cot,means,evitable,prevention_no,3,2,22
claude-2,0shot_cot,means,evitable,prevention_no,3,2,23
claude-2,0shot_cot,means,evitable,prevention_no,3,2,24
claude-2,0shot_cot,means,evitable,prevention_no,2,2,25
claude-2,0shot_cot,means,evitable,prevention_no,2,3,26
claude-2,0shot_cot,means,evitable,prevention_no,4,2,27
claude-2,0shot_cot,means,evitable,prevention_no,4,2,28
claude-2,0shot_cot,means,evitable,prevention_no,4,2,29
claude-2,0shot_cot,means,evitable,prevention_no,3,2,30
claude-2,0shot_cot,means,evitable,prevention_no,4,2,31
claude-2,0shot_cot,means,evitable,prevention_no,3,2,32
claude-2,0shot_cot,means,evitable,prevention_no,3,2,33
claude-2,0shot_cot,means,evitable,prevention_no,4,1,34
claude-2,0shot_cot,means,evitable,prevention_no,1,3,35
claude-2,0shot_cot,means,evitable,prevention_no,3,2,36
claude-2,0shot_cot,means,evitable,prevention_no,3,2,37
claude-2,0shot_cot,means,evitable,prevention_no,1,2,38
claude-2,0shot_cot,means,evitable,prevention_no,2,2,39
claude-2,0shot_cot,means,evitable,prevention_no,4,2,40
claude-2,0shot_cot,means,evitable,prevention_no,1,2,41
claude-2,0shot_cot,means,evitable,prevention_no,4,2,42
claude-2,0shot_cot,means,evitable,prevention_no,2,2,43
claude-2,0shot_cot,means,evitable,prevention_no,2,2,44
claude-2,0shot_cot,means,evitable,prevention_no,4,2,45
claude-2,0shot_cot,means,evitable,prevention_no,2,2,46
claude-2,0shot_cot,means,evitable,prevention_no,3,2,47
claude-2,0shot_cot,means,evitable,prevention_no,2,2,48
claude-2,0shot_cot,means,evitable,prevention_no,4,2,49
claude-2,0shot_cot,means,evitable,prevention_no,3,2,50
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,1
gpt-4-0613,0shot,means,evitable,prevention_no,3,4,2
gpt-4-0613,0shot,means,evitable,prevention_no,3,4,3
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,4
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,5
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,6
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,7
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,8
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,9
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,10
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,11
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,12
gpt-4-0613,0shot,means,evitable,prevention_no,3,4,13
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,14
gpt-4-0613,0shot,means,evitable,prevention_no,3,4,15
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,16
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,17
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,18
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,19
gpt-4-0613,0shot,means,evitable,prevention_no,4,2,20
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,21
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,22
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,23
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,24
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,25
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,26
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,27
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,28
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,29
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,30
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,31
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,32
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,33
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,34
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,35
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,36
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,37
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,38
gpt-4-0613,0shot,means,evitable,prevention_no,1,2,39
gpt-4-0613,0shot,means,evitable,prevention_no,4,2,40
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,41
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,42
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,43
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,44
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,45
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,46
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,47
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,48
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,49
gpt-4-0613,0shot,means,evitable,prevention_no,3,2,50
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,1
gpt-4-0613,0shot_cot,means,evitable,prevention_no,1,4,2
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,5,3
gpt-4-0613,0shot_cot,means,evitable,prevention_no,4,3,4
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,1,5
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,6
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,7
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,8
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,1,9
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,10
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,11
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,12
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,5,13
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,14
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,15
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,16
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,1,17
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,18
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,19
gpt-4-0613,0shot_cot,means,evitable,prevention_no,4,4,20
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,21
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,22
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,23
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,24
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,25
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,26
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,27
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,28
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,29
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,30
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,31
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,32
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,33
gpt-4-0613,0shot_cot,means,evitable,prevention_no,4,4,34
gpt-4-0613,0shot_cot,means,evitable,prevention_no,2,3,35
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,36
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,37
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,38
gpt-4-0613,0shot_cot,means,evitable,prevention_no,1,3,39
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,1,40
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,41
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,42
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,43
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,44
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,45
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,3,46
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,47
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,48
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,2,49
gpt-4-0613,0shot_cot,means,evitable,prevention_no,3,4,50
claude-2,0shot,means,inevitable,action_yes,3,2,1
claude-2,0shot,means,inevitable,action_yes,2,2,2
claude-2,0shot,means,inevitable,action_yes,3,2,3
claude-2,0shot,means,inevitable,action_yes,4,2,4
claude-2,0shot,means,inevitable,action_yes,3,2,5
claude-2,0shot,means,inevitable,action_yes,3,2,6
claude-2,0shot,means,inevitable,action_yes,3,2,7
claude-2,0shot,means,inevitable,action_yes,3,2,8
claude-2,0shot,means,inevitable,action_yes,3,2,9
claude-2,0shot,means,inevitable,action_yes,3,2,10
claude-2,0shot,means,inevitable,action_yes,3,2,11
claude-2,0shot,means,inevitable,action_yes,2,2,12
claude-2,0shot,means,inevitable,action_yes,4,2,13
claude-2,0shot,means,inevitable,action_yes,3,2,14
claude-2,0shot,means,inevitable,action_yes,3,2,15
claude-2,0shot,means,inevitable,action_yes,3,2,16
claude-2,0shot,means,inevitable,action_yes,2,2,17
claude-2,0shot,means,inevitable,action_yes,3,2,18
claude-2,0shot,means,inevitable,action_yes,3,2,19
claude-2,0shot,means,inevitable,action_yes,4,2,20
claude-2,0shot,means,inevitable,action_yes,3,2,21
claude-2,0shot,means,inevitable,action_yes,3,2,22
claude-2,0shot,means,inevitable,action_yes,2,2,23
claude-2,0shot,means,inevitable,action_yes,2,2,24
claude-2,0shot,means,inevitable,action_yes,2,2,25
claude-2,0shot,means,inevitable,action_yes,2,2,26
claude-2,0shot,means,inevitable,action_yes,3,2,27
claude-2,0shot,means,inevitable,action_yes,3,2,28
claude-2,0shot,means,inevitable,action_yes,3,2,29
claude-2,0shot,means,inevitable,action_yes,3,2,30
claude-2,0shot,means,inevitable,action_yes,4,2,31
claude-2,0shot,means,inevitable,action_yes,3,2,32
claude-2,0shot,means,inevitable,action_yes,2,2,33
claude-2,0shot,means,inevitable,action_yes,4,2,34
claude-2,0shot,means,inevitable,action_yes,2,2,35
claude-2,0shot,means,inevitable,action_yes,2,2,36
claude-2,0shot,means,inevitable,action_yes,3,2,37
claude-2,0shot,means,inevitable,action_yes,2,2,38
claude-2,0shot,means,inevitable,action_yes,2,2,39
claude-2,0shot,means,inevitable,action_yes,4,2,40
claude-2,0shot,means,inevitable,action_yes,3,2,41
claude-2,0shot,means,inevitable,action_yes,3,2,42
claude-2,0shot,means,inevitable,action_yes,2,2,43
claude-2,0shot,means,inevitable,action_yes,2,2,44
claude-2,0shot,means,inevitable,action_yes,3,2,45
claude-2,0shot,means,inevitable,action_yes,2,2,46
claude-2,0shot,means,inevitable,action_yes,3,2,47
claude-2,0shot,means,inevitable,action_yes,3,2,48
claude-2,0shot,means,inevitable,action_yes,3,2,49
claude-2,0shot,means,inevitable,action_yes,3,2,50
claude-2,0shot_cot,means,inevitable,action_yes,4,2,1
claude-2,0shot_cot,means,inevitable,action_yes,4,2,2
claude-2,0shot_cot,means,inevitable,action_yes,4,2,3
claude-2,0shot_cot,means,inevitable,action_yes,4,2,4
claude-2,0shot_cot,means,inevitable,action_yes,4,2,5
claude-2,0shot_cot,means,inevitable,action_yes,4,2,6
claude-2,0shot_cot,means,inevitable,action_yes,4,2,7
claude-2,0shot_cot,means,inevitable,action_yes,4,2,8
claude-2,0shot_cot,means,inevitable,action_yes,4,2,9
claude-2,0shot_cot,means,inevitable,action_yes,4,1,10
claude-2,0shot_cot,means,inevitable,action_yes,4,2,11
claude-2,0shot_cot,means,inevitable,action_yes,4,2,12
claude-2,0shot_cot,means,inevitable,action_yes,4,2,13
claude-2,0shot_cot,means,inevitable,action_yes,4,1,14
claude-2,0shot_cot,means,inevitable,action_yes,3,2,15
claude-2,0shot_cot,means,inevitable,action_yes,3,2,16
claude-2,0shot_cot,means,inevitable,action_yes,2,4,17
claude-2,0shot_cot,means,inevitable,action_yes,4,2,18
claude-2,0shot_cot,means,inevitable,action_yes,4,1,19
