split,worker_id,scenario_id,permissibility_rating,intention_rating,causal_structure,evitability,action
1,463,9,2,3,side_effect,inevitable,prevention_no
1,463,3,4,3,means,evitable,prevention_no
1,463,1,3,3,side_effect,inevitable,action_yes
1,463,0,3,3,side_effect,inevitable,prevention_no
1,417,6,5,2,side_effect,inevitable,action_yes
1,417,5,4,2,side_effect,inevitable,prevention_no
1,417,0,3,2,means,evitable,action_yes
1,417,0,4,2,side_effect,inevitable,prevention_no
1,417,6,5,2,side_effect,evitable,prevention_no
1,417,1,4,3,side_effect,inevitable,action_yes
1,417,2,5,2,side_effect,evitable,prevention_no
1,417,3,4,2,side_effect,inevitable,prevention_no
1,417,4,4,3,means,evitable,prevention_no
1,417,4,5,2,side_effect,inevitable,prevention_no
1,417,9,5,2,side_effect,evitable,prevention_no
1,417,3,5,1,means,evitable,prevention_no
1,417,8,5,2,means,inevitable,action_yes
1,417,7,5,3,side_effect,evitable,action_yes
1,417,5,4,3,means,evitable,action_yes
1,417,9,5,2,side_effect,inevitable,prevention_no
1,452,2,4,2,side_effect,evitable,prevention_no
1,452,0,4,2,means,evitable,action_yes
1,452,4,4,2,side_effect,inevitable,prevention_no
1,452,3,2,2,side_effect,inevitable,prevention_no
1,452,5,4,2,side_effect,inevitable,prevention_no
1,452,6,4,2,side_effect,inevitable,action_yes
1,452,7,4,2,side_effect,evitable,action_yes
1,452,5,2,2,means,evitable,action_yes
1,452,9,2,2,side_effect,inevitable,prevention_no
1,452,4,2,2,means,evitable,prevention_no
1,452,6,4,2,side_effect,evitable,prevention_no
1,452,8,4,4,means,inevitable,action_yes
1,452,1,4,4,side_effect,inevitable,action_yes
1,452,0,2,2,side_effect,inevitable,prevention_no
1,452,9,4,4,side_effect,evitable,prevention_no
1,452,3,4,4,means,evitable,prevention_no
1,407,5,3,4,means,evitable,action_yes
1,407,8,4,4,means,inevitable,action_yes
1,407,9,5,4,side_effect,evitable,prevention_no
1,407,0,4,4,means,evitable,action_yes
1,407,9,5,4,side_effect,inevitable,prevention_no
1,407,3,4,4,means,evitable,prevention_no
1,407,1,4,4,side_effect,inevitable,action_yes
1,407,2,3,3,side_effect,evitable,prevention_no
1,407,7,3,3,side_effect,evitable,action_yes
1,407,5,3,3,side_effect,inevitable,prevention_no
1,407,4,3,3,side_effect,inevitable,prevention_no
1,407,6,5,4,side_effect,inevitable,action_yes
1,407,4,2,4,means,evitable,prevention_no
1,407,6,4,4,side_effect,evitable,prevention_no
1,407,3,4,4,side_effect,inevitable,prevention_no
1,407,0,4,4,side_effect,inevitable,prevention_no
1,473,4,1,4,side_effect,inevitable,prevention_no
1,473,6,2,3,side_effect,evitable,prevention_no
1,473,5,2,3,side_effect,inevitable,prevention_no
1,473,8,2,3,means,inevitable,action_yes
1,473,9,1,4,side_effect,inevitable,prevention_no
1,473,0,3,4,means,evitable,action_yes
1,473,0,4,3,side_effect,inevitable,prevention_no
1,473,6,1,3,side_effect,inevitable,action_yes
1,473,9,1,2,side_effect,evitable,prevention_no
1,473,1,2,3,side_effect,inevitable,action_yes
1,473,7,2,2,side_effect,evitable,action_yes
1,473,3,2,4,means,evitable,prevention_no
1,473,5,2,4,means,evitable,action_yes
1,473,2,3,4,side_effect,evitable,prevention_no
1,473,4,3,4,means,evitable,prevention_no
1,473,3,2,3,side_effect,inevitable,prevention_no
1,437,6,3,3,side_effect,evitable,prevention_no
1,437,4,4,3,means,evitable,prevention_no
1,437,7,4,3,side_effect,evitable,action_yes
1,437,0,4,4,means,evitable,action_yes
1,437,5,3,3,side_effect,inevitable,prevention_no
1,437,3,3,3,means,evitable,prevention_no
1,437,9,4,3,side_effect,evitable,prevention_no
1,437,4,4,3,side_effect,inevitable,prevention_no
1,437,2,4,3,side_effect,evitable,prevention_no
1,437,9,4,4,side_effect,inevitable,prevention_no
1,437,5,3,3,means,evitable,action_yes
1,437,3,3,4,side_effect,inevitable,prevention_no
1,437,6,3,4,side_effect,inevitable,action_yes
1,437,1,3,3,side_effect,inevitable,action_yes
1,437,0,4,3,side_effect,inevitable,prevention_no
1,437,8,3,3,means,inevitable,action_yes
0,404,7,5,1,side_effect,evitable,prevention_no
0,404,5,3,2,side_effect,evitable,action_yes
0,404,2,1,3,side_effect,evitable,action_yes
0,404,4,3,3,means,evitable,action_yes
0,404,8,2,3,means,evitable,prevention_no
0,404,6,3,2,means,inevitable,action_yes
0,404,5,4,2,means,inevitable,action_yes
0,404,2,4,2,means,inevitable,prevention_no
0,404,1,1,5,means,evitable,prevention_no
0,404,1,3,4,side_effect,evitable,action_yes
0,404,0,1,5,means,evitable,prevention_no
0,404,9,3,3,means,evitable,action_yes
0,404,0,1,5,means,inevitable,prevention_no
0,404,9,4,3,side_effect,evitable,action_yes
0,404,3,2,4,side_effect,evitable,prevention_no
0,404,4,1,5,side_effect,evitable,action_yes
0,392,4,3,4,side_effect,evitable,action_yes
0,392,7,2,4,side_effect,evitable,prevention_no
0,392,5,4,5,means,inevitable,action_yes
0,392,9,2,4,side_effect,evitable,action_yes
0,392,2,4,4,means,inevitable,prevention_no
0,392,5,2,4,side_effect,evitable,action_yes
0,392,2,2,4,side_effect,evitable,action_yes
0,392,1,3,4,side_effect,evitable,action_yes
0,392,6,4,4,means,inevitable,action_yes
0,392,9,4,3,means,evitable,action_yes
0,392,8,1,4,means,evitable,prevention_no
0,392,0,3,3,means,evitable,prevention_no
0,392,1,1,5,means,evitable,prevention_no
0,392,4,4,3,means,evitable,action_yes
0,392,0,4,4,means,inevitable,prevention_no
0,392,3,5,5,side_effect,evitable,prevention_no
0,459,4,4,2,means,evitable,action_yes
0,459,2,3,2,means,inevitable,prevention_no
0,459,0,2,1,means,evitable,prevention_no
0,459,5,4,2,means,inevitable,action_yes
0,459,4,2,3,side_effect,evitable,action_yes
0,459,9,4,4,means,evitable,action_yes
0,459,1,2,1,side_effect,evitable,action_yes
0,459,6,4,3,means,inevitable,action_yes
0,459,1,2,2,means,evitable,prevention_no
0,459,3,4,3,side_effect,evitable,prevention_no
0,459,5,4,2,side_effect,evitable,action_yes
0,459,0,2,2,means,inevitable,prevention_no
0,459,7,4,2,side_effect,evitable,prevention_no
0,459,8,4,2,means,evitable,prevention_no
0,459,2,2,3,side_effect,evitable,action_yes
0,459,9,4,1,side_effect,evitable,action_yes
0,409,8,3,2,means,evitable,prevention_no
0,409,0,2,2,means,evitable,prevention_no
0,409,9,4,2,side_effect,evitable,action_yes
0,409,1,3,4,means,evitable,prevention_no
0,409,4,4,2,side_effect,evitable,action_yes
0,409,3,5,4,side_effect,evitable,prevention_no
0,409,2,2,4,side_effect,evitable,action_yes
0,409,0,3,4,means,inevitable,prevention_no
0,409,7,2,2,side_effect,evitable,prevention_no
0,409,6,4,2,means,inevitable,action_yes
0,409,1,4,4,side_effect,evitable,action_yes
0,409,4,2,5,means,evitable,action_yes
0,409,9,5,2,means,evitable,action_yes
0,409,5,4,3,means,inevitable,action_yes
0,409,5,4,4,side_effect,evitable,action_yes
0,409,2,4,3,means,inevitable,prevention_no
0,449,8,4,5,means,evitable,prevention_no
0,449,1,4,5,means,evitable,prevention_no
0,449,2,4,5,means,inevitable,prevention_no
0,449,9,2,2,means,evitable,action_yes
0,449,5,2,2,side_effect,evitable,action_yes
0,449,3,3,4,side_effect,evitable,prevention_no
0,449,1,4,2,side_effect,evitable,action_yes
0,449,4,5,1,means,evitable,action_yes
0,449,7,4,3,side_effect,evitable,prevention_no
0,449,2,2,4,side_effect,evitable,action_yes
0,449,0,1,5,means,evitable,prevention_no
0,449,6,4,2,means,inevitable,action_yes
0,449,0,2,4,means,inevitable,prevention_no
0,449,4,4,2,side_effect,evitable,action_yes
0,449,9,2,4,side_effect,evitable,action_yes
0,449,5,2,5,means,inevitable,action_yes
0,399,6,3,2,means,inevitable,action_yes
0,399,5,2,4,means,inevitable,action_yes
0,399,0,3,4,means,evitable,prevention_no
0,399,8,4,2,means,evitable,prevention_no
0,399,5,4,1,side_effect,evitable,action_yes
0,399,2,2,2,side_effect,evitable,action_yes
0,399,9,4,2,side_effect,evitable,action_yes
0,399,7,3,2,side_effect,evitable,prevention_no
0,399,4,4,2,means,evitable,action_yes
0,399,1,3,2,means,evitable,prevention_no
0,399,3,2,2,side_effect,evitable,prevention_no
0,399,0,2,2,means,inevitable,prevention_no
0,399,2,3,2,means,inevitable,prevention_no
0,399,9,4,2,means,evitable,action_yes
0,399,4,4,3,side_effect,evitable,action_yes
0,399,1,3,2,side_effect,evitable,action_yes
0,387,9,3,3,means,evitable,action_yes
0,387,7,5,1,side_effect,evitable,prevention_no
0,387,0,1,4,means,evitable,prevention_no
0,387,4,4,2,side_effect,evitable,action_yes
0,387,5,2,3,side_effect,evitable,action_yes
0,387,5,2,3,means,inevitable,action_yes
0,387,9,4,3,side_effect,evitable,action_yes
0,387,2,4,4,side_effect,evitable,action_yes
0,387,1,1,5,means,evitable,prevention_no
0,387,1,3,2,side_effect,evitable,action_yes
0,387,2,3,3,means,inevitable,prevention_no
0,387,6,4,2,means,inevitable,action_yes
0,387,3,4,3,side_effect,evitable,prevention_no
0,387,8,1,3,means,evitable,prevention_no
0,387,0,1,5,means,inevitable,prevention_no
0,387,4,1,4,means,evitable,action_yes
0,429,0,2,4,means,inevitable,prevention_no
0,429,3,1,5,side_effect,evitable,prevention_no
0,429,1,2,4,means,evitable,prevention_no
0,429,4,3,3,means,evitable,action_yes
0,429,5,5,1,side_effect,evitable,action_yes
0,429,9,3,3,side_effect,evitable,action_yes
0,429,2,1,5,means,inevitable,prevention_no
0,429,2,2,4,side_effect,evitable,action_yes
0,429,4,1,5,side_effect,evitable,action_yes
0,429,7,2,4,side_effect,evitable,prevention_no
0,429,6,3,3,means,inevitable,action_yes
0,429,0,1,5,means,evitable,prevention_no
0,429,8,2,4,means,evitable,prevention_no
0,429,1,3,3,side_effect,evitable,action_yes
0,429,9,3,3,means,evitable,action_yes
0,429,5,3,3,means,inevitable,action_yes
0,377,8,2,4,means,evitable,prevention_no
0,377,9,2,3,side_effect,evitable,action_yes
0,377,5,1,3,side_effect,evitable,action_yes
0,377,1,3,3,side_effect,evitable,action_yes
0,377,2,4,4,means,inevitable,prevention_no
0,377,4,1,4,means,evitable,action_yes
0,377,1,2,5,means,evitable,prevention_no
0,377,7,4,2,side_effect,evitable,prevention_no
0,377,2,1,5,side_effect,evitable,action_yes
0,377,9,2,4,means,evitable,action_yes
0,377,6,4,2,means,inevitable,action_yes
0,377,0,2,4,means,evitable,prevention_no
0,377,5,3,2,means,inevitable,action_yes
0,377,4,1,5,side_effect,evitable,action_yes
0,377,3,2,4,side_effect,evitable,prevention_no
0,377,0,3,4,means,inevitable,prevention_no
0,373,9,4,3,means,evitable,action_yes
0,373,5,2,1,side_effect,evitable,action_yes
0,373,4,2,3,side_effect,evitable,action_yes
0,373,0,1,4,means,evitable,prevention_no
0,373,4,2,4,means,evitable,action_yes
0,373,1,1,5,means,evitable,prevention_no
0,373,9,4,2,side_effect,evitable,action_yes
0,373,2,2,4,side_effect,evitable,action_yes
0,373,1,3,4,side_effect,evitable,action_yes
0,373,0,1,3,means,inevitable,prevention_no
0,373,3,3,3,side_effect,evitable,prevention_no
0,373,5,3,2,means,inevitable,action_yes
0,373,2,4,1,means,inevitable,prevention_no
0,373,7,3,3,side_effect,evitable,prevention_no
0,373,6,4,1,means,inevitable,action_yes
0,373,8,1,5,means,evitable,prevention_no
0,414,0,1,4,means,inevitable,prevention_no
0,414,7,2,4,side_effect,evitable,prevention_no
0,414,4,2,5,side_effect,evitable,action_yes
0,414,9,3,3,side_effect,evitable,action_yes
0,414,0,1,4,means,evitable,prevention_no
0,414,1,1,5,means,evitable,prevention_no
0,414,4,4,2,means,evitable,action_yes
0,414,1,2,4,side_effect,evitable,action_yes
0,414,2,2,4,means,inevitable,prevention_no
0,414,8,1,5,means,evitable,prevention_no
0,414,6,2,4,means,inevitable,action_yes
0,414,5,1,4,means,inevitable,action_yes
0,414,2,2,4,side_effect,evitable,action_yes
0,414,3,3,3,side_effect,evitable,prevention_no
0,414,5,5,1,side_effect,evitable,action_yes
0,414,9,4,4,means,evitable,action_yes
0,382,8,4,5,means,evitable,prevention_no
0,382,7,4,3,side_effect,evitable,prevention_no
0,382,9,2,2,side_effect,evitable,action_yes
0,382,5,3,4,means,inevitable,action_yes
0,382,1,3,4,side_effect,evitable,action_yes
0,382,0,4,4,means,inevitable,prevention_no
0,382,4,4,3,side_effect,evitable,action_yes
0,382,5,4,4,side_effect,evitable,action_yes
0,382,1,3,4,means,evitable,prevention_no
0,382,2,4,4,means,inevitable,prevention_no
0,382,6,4,4,means,inevitable,action_yes
0,382,0,4,3,means,evitable,prevention_no
0,382,2,3,2,side_effect,evitable,action_yes
0,382,4,3,4,means,evitable,action_yes
0,382,3,3,2,side_effect,evitable,prevention_no
0,382,9,3,4,means,evitable,action_yes
0,439,1,4,1,side_effect,evitable,action_yes
0,439,5,5,5,means,inevitable,action_yes
0,439,2,2,1,means,inevitable,prevention_no
0,439,2,5,1,side_effect,evitable,action_yes
0,439,0,2,5,means,evitable,prevention_no
0,439,9,3,5,side_effect,evitable,action_yes
0,439,6,4,5,means,inevitable,action_yes
0,439,4,1,4,side_effect,evitable,action_yes
0,439,9,2,5,means,evitable,action_yes
0,439,7,1,4,side_effect,evitable,prevention_no
0,439,8,1,5,means,evitable,prevention_no
0,439,5,4,1,side_effect,evitable,action_yes
0,439,0,5,1,means,inevitable,prevention_no
0,439,1,2,1,means,evitable,prevention_no
0,439,3,1,5,side_effect,evitable,prevention_no
0,439,4,5,5,means,evitable,action_yes
0,469,0,4,5,means,evitable,prevention_no
0,469,9,5,1,means,evitable,action_yes
0,469,5,5,1,means,inevitable,action_yes
0,469,9,1,5,side_effect,evitable,action_yes
0,469,1,4,4,side_effect,evitable,action_yes
0,469,3,5,4,side_effect,evitable,prevention_no
0,469,0,4,5,means,inevitable,prevention_no
0,469,1,5,2,means,evitable,prevention_no
0,469,4,4,1,side_effect,evitable,action_yes
0,469,4,4,2,means,evitable,action_yes
0,469,2,5,3,means,inevitable,prevention_no
0,469,6,5,2,means,inevitable,action_yes
0,469,2,1,4,side_effect,evitable,action_yes
0,469,7,3,1,side_effect,evitable,prevention_no
0,469,5,4,1,side_effect,evitable,action_yes
0,469,8,4,1,means,evitable,prevention_no
0,444,9,4,1,means,evitable,action_yes
0,444,4,4,1,side_effect,evitable,action_yes
0,444,5,3,1,means,inevitable,action_yes
0,444,1,1,5,means,evitable,prevention_no
0,444,0,3,3,means,evitable,prevention_no
0,444,5,2,2,side_effect,evitable,action_yes
0,444,8,3,1,means,evitable,prevention_no
0,444,0,3,3,means,inevitable,prevention_no
0,444,2,3,2,means,inevitable,prevention_no
0,444,3,4,1,side_effect,evitable,prevention_no
0,444,6,4,1,means,inevitable,action_yes
0,444,7,4,2,side_effect,evitable,prevention_no
0,444,1,3,2,side_effect,evitable,action_yes
0,444,2,2,3,side_effect,evitable,action_yes
0,444,4,1,3,means,evitable,action_yes
0,444,9,2,3,side_effect,evitable,action_yes
0,454,0,2,1,means,evitable,prevention_no
0,454,4,1,2,means,evitable,action_yes
0,454,6,5,1,means,inevitable,action_yes
0,454,8,4,2,means,evitable,prevention_no
0,454,9,4,2,means,evitable,action_yes
0,454,3,5,1,side_effect,evitable,prevention_no
0,454,1,2,2,side_effect,evitable,action_yes
0,454,7,4,2,side_effect,evitable,prevention_no
0,454,0,3,2,means,inevitable,prevention_no
0,454,5,5,2,side_effect,evitable,action_yes
0,454,2,2,2,side_effect,evitable,action_yes
0,454,4,1,4,side_effect,evitable,action_yes
0,454,1,3,3,means,evitable,prevention_no
0,454,9,4,2,side_effect,evitable,action_yes
0,454,2,5,5,means,inevitable,prevention_no
0,454,5,5,1,means,inevitable,action_yes
0,464,3,3,2,side_effect,evitable,prevention_no
0,464,0,4,2,means,inevitable,prevention_no
0,464,4,2,2,means,evitable,action_yes
0,464,9,4,3,means,evitable,action_yes
0,464,7,2,3,side_effect,evitable,prevention_no
0,464,1,1,4,side_effect,evitable,action_yes
0,464,9,3,3,side_effect,evitable,action_yes
0,464,6,4,2,means,inevitable,action_yes
0,464,2,2,4,side_effect,evitable,action_yes
0,464,8,4,2,means,evitable,prevention_no
0,464,1,2,3,means,evitable,prevention_no
0,464,4,3,3,side_effect,evitable,action_yes
